Product,Issue,Company
Credit card,Closing/Cancelling account,Discover
Credit card,Credit determination,Amex
Credit card,Other,Amex
Credit card,Billing statement,Citibank
Credit card,Billing disputes,Capital One
Credit card,Billing statement,Citibank
Credit card,Other fee,Bank of America
Credit card,Transaction issue,Amex
Credit card,Billing statement,Amex
Credit card,Billing disputes,Amex
Credit card,Identity theft / Fraud / Embezzlement,Capital One
Credit card,Billing disputes,Citibank
Credit card,Billing disputes,Capital One
Credit card,Billing disputes,Synchrony Financial
Credit card,Identity theft / Fraud / Embezzlement,JPMorgan Chase & Co.
Credit card,Billing disputes,Barclays PLC
Credit card,Delinquent account,JPMorgan Chase & Co.
Credit card,Other,Synchrony Financial
Credit card,Advertising and marketing,Sterling Jewelers Inc.
Credit card,Billing disputes,JPMorgan Chase & Co.
Credit card,Identity theft / Fraud / Embezzlement,Capital One
Credit card,APR or interest rate,Bank of America
Credit card,Credit line increase/decrease,Wells Fargo & Company
Credit card,Advertising and marketing,JPMorgan Chase & Co.
Credit card,Identity theft / Fraud / Embezzlement,Discover
Credit card,Other,Wells Fargo & Company
Credit card,Billing disputes,Bank of America
Credit card,Privacy,Bank of America
Credit card,Billing disputes,Synchrony Financial
Credit card,Advertising and marketing,"PayPal Holdings, Inc."
Credit card,Convenience checks,JPMorgan Chase & Co.
Credit card,Closing/Cancelling account,Discover
Credit card,Transaction issue,U.S. Bancorp
Credit card,Customer service / Customer relations,Capital One
Credit card,Identity theft / Fraud / Embezzlement,Wells Fargo & Company
Credit card,Credit line increase/decrease,Wells Fargo & Company
Credit card,Customer service / Customer relations,Synchrony Financial
Credit card,Billing disputes,Citibank
Credit card,Other,"Continental Finance Company, LLC"
Credit card,Credit card protection / Debt protection,Discover
Credit card,Other,Capital One
Credit card,Billing disputes,Amex
Credit card,APR or interest rate,USAA Savings
Credit card,Advertising and marketing,Amex
Credit card,Other fee,Capital One
Credit card,Payoff process,Synchrony Financial
Credit card,Transaction issue,Synchrony Financial
Credit card,APR or interest rate,Wells Fargo & Company
Credit card,Payoff process,Amex
Credit card,Late fee,Barclays PLC
Credit card,Delinquent account,Navy FCU
Credit card,Other fee,Bank of America
Credit card,Billing disputes,Synchrony Financial
Credit card,Late fee,Bank of America
Credit card,Closing/Cancelling account,Bank of America
Credit card,Forbearance / Workout plans,State Farm Bank
Credit card,Billing statement,Citibank
Credit card,Delinquent account,Citibank
Credit card,Late fee,Citibank
Credit card,Credit determination,U.S. Bancorp
Credit card,Closing/Cancelling account,Wells Fargo & Company
Credit card,Billing disputes,TD Bank US Holding Company
Credit card,Unsolicited issuance of credit card,Discover
Credit card,Unsolicited issuance of credit card,Synchrony Financial
Credit card,Delinquent account,Citibank
Credit card,Balance transfer,Wells Fargo & Company
Credit card,Billing disputes,Capital One
Credit card,Rewards,Amex
Credit card,Billing statement,Citibank
Credit card,Unsolicited issuance of credit card,U.S. Bancorp
Credit card,Privacy,Bank of America
Credit card,Other,Atlanticus Services Corporation
Credit card,Advertising and marketing,U.S. Bancorp
Credit card,Identity theft / Fraud / Embezzlement,HSBC North America Holdings Inc.
Credit card,Other,Capital One
Credit card,Delinquent account,Citibank
Credit card,Other,Synchrony Financial
Credit card,Billing disputes,Wells Fargo & Company
Credit card,Privacy,Citibank
Credit card,Convenience checks,JPMorgan Chase & Co.
Credit card,Identity theft / Fraud / Embezzlement,Synchrony Financial
